RESIDENCE,persons,workers,vehicles,output,count
"Roanoke County, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Estimate,"38,320"
"Roanoke County, Virginia",Total households,"Total, number of workers in household","Total, vehicles available",Margin of Error,388
"Roanoke County, Virginia",Total households,"Total, number of workers in household",0 vehicles,Estimate,"1,750"
"Roanoke County, Virginia",Total households,"Total, number of workers in household",0 vehicles,Margin of Error,242
"Roanoke County, Virginia",Total households,"Total, number of workers in household",1 vehicle,Estimate,"11,205"
"Roanoke County, Virginia",Total households,"Total, number of workers in household",1 vehicle,Margin of Error,592
"Roanoke County, Virginia",Total households,"Total, number of workers in household",2 vehicles,Estimate,"14,480"
"Roanoke County, Virginia",Total households,"Total, number of workers in household",2 vehicles,Margin of Error,647
"Roanoke County, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Estimate,"10,885"
"Roanoke County, Virginia",Total households,"Total, number of workers in household",3-or-more vehicles,Margin of Error,501
"Roanoke County, Virginia",Total households,0 workers,"Total, vehicles available",Estimate,"10,730"
"Roanoke County, Virginia",Total households,0 workers,"Total, vehicles available",Margin of Error,464
"Roanoke County, Virginia",Total households,0 workers,0 vehicles,Estimate,"1,175"
"Roanoke County, Virginia",Total households,0 workers,0 vehicles,Margin of Error,196
"Roanoke County, Virginia",Total households,0 workers,1 vehicle,Estimate,"4,620"
"Roanoke County, Virginia",Total households,0 workers,1 vehicle,Margin of Error,432
"Roanoke County, Virginia",Total households,0 workers,2 vehicles,Estimate,"3,245"
"Roanoke County, Virginia",Total households,0 workers,2 vehicles,Margin of Error,317
"Roanoke County, Virginia",Total households,0 workers,3-or-more vehicles,Estimate,"1,690"
"Roanoke County, Virginia",Total households,0 workers,3-or-more vehicles,Margin of Error,253
"Roanoke County, Virginia",Total households,1 worker,"Total, vehicles available",Estimate,"14,575"
"Roanoke County, Virginia",Total households,1 worker,"Total, vehicles available",Margin of Error,626
"Roanoke County, Virginia",Total households,1 worker,0 vehicles,Estimate,475
"Roanoke County, Virginia",Total households,1 worker,0 vehicles,Margin of Error,143
"Roanoke County, Virginia",Total households,1 worker,1 vehicle,Estimate,"5,955"
"Roanoke County, Virginia",Total households,1 worker,1 vehicle,Margin of Error,510
"Roanoke County, Virginia",Total households,1 worker,2 vehicles,Estimate,"5,075"
"Roanoke County, Virginia",Total households,1 worker,2 vehicles,Margin of Error,406
"Roanoke County, Virginia",Total households,1 worker,3-or-more vehicles,Estimate,"3,065"
"Roanoke County, Virginia",Total households,1 worker,3-or-more vehicles,Margin of Error,330
"Roanoke County, Virginia",Total households,2 workers,"Total, vehicles available",Estimate,"10,910"
"Roanoke County, Virginia",Total households,2 workers,"Total, vehicles available",Margin of Error,549
"Roanoke County, Virginia",Total households,2 workers,0 vehicles,Estimate,90
"Roanoke County, Virginia",Total households,2 workers,0 vehicles,Margin of Error,64
"Roanoke County, Virginia",Total households,2 workers,1 vehicle,Estimate,570
"Roanoke County, Virginia",Total households,2 workers,1 vehicle,Margin of Error,183
"Roanoke County, Virginia",Total households,2 workers,2 vehicles,Estimate,"5,885"
"Roanoke County, Virginia",Total households,2 workers,2 vehicles,Margin of Error,436
"Roanoke County, Virginia",Total households,2 workers,3-or-more vehicles,Estimate,"4,370"
"Roanoke County, Virginia",Total households,2 workers,3-or-more vehicles,Margin of Error,398
"Roanoke County, Virginia",Total households,3 workers,"Total, vehicles available",Estimate,"1,665"
"Roanoke County, Virginia",Total households,3 workers,"Total, vehicles available",Margin of Error,295
"Roanoke County, Virginia",Total households,3 workers,0 vehicles,Estimate,10
"Roanoke County, Virginia",Total households,3 workers,0 vehicles,Margin of Error,14
"Roanoke County, Virginia",Total households,3 workers,1 vehicle,Estimate,30
"Roanoke County, Virginia",Total households,3 workers,1 vehicle,Margin of Error,35
"Roanoke County, Virginia",Total households,3 workers,2 vehicles,Estimate,255
"Roanoke County, Virginia",Total households,3 workers,2 vehicles,Margin of Error,129
"Roanoke County, Virginia",Total households,3 workers,3-or-more vehicles,Estimate,"1,365"
"Roanoke County, Virginia",Total households,3 workers,3-or-more vehicles,Margin of Error,239
"Roanoke County, Virginia",Total households,4-or-more workers,"Total, vehicles available",Estimate,445
"Roanoke County, Virginia",Total households,4-or-more workers,"Total, vehicles available",Margin of Error,125
"Roanoke County, Virginia",Total households,4-or-more workers,0 vehicles,Estimate,0
"Roanoke County, Virginia",Total households,4-or-more workers,0 vehicles,Margin of Error,28
"Roanoke County, Virginia",Total households,4-or-more workers,1 vehicle,Estimate,30
"Roanoke County, Virginia",Total households,4-or-more workers,1 vehicle,Margin of Error,36
"Roanoke County, Virginia",Total households,4-or-more workers,2 vehicles,Estimate,20
"Roanoke County, Virginia",Total households,4-or-more workers,2 vehicles,Margin of Error,29
"Roanoke County, Virginia",Total households,4-or-more workers,3-or-more vehicles,Estimate,395
"Roanoke County, Virginia",Total households,4-or-more workers,3-or-more vehicles,Margin of Error,121
"Roanoke County, Virginia",1-person household,"Total, number of workers in household","Total, vehicles available",Estimate,"10,790"
